time,value,qaqc_flag_id,cdec_code,analyte_name
8/24/2021 15:42,21660.1,G,TRB,Specific Conductance
8/24/2021 15:57,21731.9,G,TRB,Specific Conductance
8/24/2021 16:12,21727.6,G,TRB,Specific Conductance
8/24/2021 16:27,21666,G,TRB,Specific Conductance
8/24/2021 16:42,21672.1,G,TRB,Specific Conductance
8/24/2021 16:57,21672.4,G,TRB,Specific Conductance
8/24/2021 17:12,21665.4,G,TRB,Specific Conductance
8/24/2021 17:27,21671.7,G,TRB,Specific Conductance
8/24/2021 17:42,21662.8,G,TRB,Specific Conductance
8/24/2021 17:57,21636.9,G,TRB,Specific Conductance
8/24/2021 18:12,21603.4,G,TRB,Specific Conductance
8/24/2021 18:27,21570.7,G,TRB,Specific Conductance
8/24/2021 18:42,21547.6,G,TRB,Specific Conductance
8/24/2021 18:57,21551.2,G,TRB,Specific Conductance
8/24/2021 19:12,21603.6,G,TRB,Specific Conductance
8/24/2021 19:27,21662.1,G,TRB,Specific Conductance
8/24/2021 19:42,21702.9,G,TRB,Specific Conductance
8/24/2021 19:57,21738.9,G,TRB,Specific Conductance
8/24/2021 20:12,21764.6,G,TRB,Specific Conductance
8/24/2021 20:27,21785.6,G,TRB,Specific Conductance
8/24/2021 20:42,21800,G,TRB,Specific Conductance
8/24/2021 20:57,21816.3,G,TRB,Specific Conductance
8/24/2021 21:12,21829.7,G,TRB,Specific Conductance
8/24/2021 21:27,21845.4,G,TRB,Specific Conductance
8/24/2021 21:42,21858.6,G,TRB,Specific Conductance
8/24/2021 21:57,21864,G,TRB,Specific Conductance
8/24/2021 22:12,21867.4,G,TRB,Specific Conductance
8/24/2021 22:27,21867,G,TRB,Specific Conductance
8/24/2021 22:42,21865,G,TRB,Specific Conductance
8/24/2021 22:57,21770.6,G,TRB,Specific Conductance
8/24/2021 23:12,21659.1,G,TRB,Specific Conductance
8/24/2021 23:27,21602.3,G,TRB,Specific Conductance
8/24/2021 23:42,21626.5,G,TRB,Specific Conductance
8/24/2021 23:57,21821.3,G,TRB,Specific Conductance
8/25/2021 0:12,21912.3,G,TRB,Specific Conductance
8/25/2021 0:27,21957.9,G,TRB,Specific Conductance
8/25/2021 0:42,21992,G,TRB,Specific Conductance
8/25/2021 0:57,22018.3,G,TRB,Specific Conductance
8/25/2021 1:12,22025,G,TRB,Specific Conductance
8/25/2021 1:27,22041.2,G,TRB,Specific Conductance
8/25/2021 1:42,22131.8,G,TRB,Specific Conductance
8/25/2021 1:57,22129.5,G,TRB,Specific Conductance
8/25/2021 2:12,22132.4,G,TRB,Specific Conductance
8/25/2021 2:27,22060.8,G,TRB,Specific Conductance
8/25/2021 2:42,21923.7,G,TRB,Specific Conductance
8/25/2021 2:57,21740.8,G,TRB,Specific Conductance
8/25/2021 3:12,21860.2,G,TRB,Specific Conductance
8/25/2021 3:27,21556.2,G,TRB,Specific Conductance
8/25/2021 3:42,21596.5,G,TRB,Specific Conductance
8/25/2021 3:57,21709.9,G,TRB,Specific Conductance
8/25/2021 4:12,21599.7,G,TRB,Specific Conductance
8/25/2021 4:27,21693,G,TRB,Specific Conductance
8/25/2021 4:42,21675.9,G,TRB,Specific Conductance
8/25/2021 4:57,21730.7,G,TRB,Specific Conductance
8/25/2021 5:12,21794.5,G,TRB,Specific Conductance
8/25/2021 5:27,21880,G,TRB,Specific Conductance
8/25/2021 5:42,21958.8,G,TRB,Specific Conductance
8/25/2021 5:57,22025.3,G,TRB,Specific Conductance
8/25/2021 6:12,22070.9,G,TRB,Specific Conductance
8/25/2021 6:27,22086.5,G,TRB,Specific Conductance
8/25/2021 6:42,22077.8,G,TRB,Specific Conductance
8/25/2021 6:57,22068,G,TRB,Specific Conductance
8/25/2021 7:12,22064.5,G,TRB,Specific Conductance
8/25/2021 7:27,22066.3,G,TRB,Specific Conductance
8/25/2021 7:42,22067.8,G,TRB,Specific Conductance
8/25/2021 7:57,22072.5,G,TRB,Specific Conductance
8/25/2021 8:12,22075.2,G,TRB,Specific Conductance
8/25/2021 8:27,22078.1,G,TRB,Specific Conductance
8/25/2021 8:42,22087.2,G,TRB,Specific Conductance
8/25/2021 8:57,22090.2,G,TRB,Specific Conductance
8/25/2021 9:12,22096.7,G,TRB,Specific Conductance
8/25/2021 9:27,22100.7,G,TRB,Specific Conductance
8/25/2021 9:42,22107.4,G,TRB,Specific Conductance
8/25/2021 9:57,22114.5,G,TRB,Specific Conductance
8/25/2021 10:12,22118,G,TRB,Specific Conductance
8/25/2021 10:27,22125.6,G,TRB,Specific Conductance
8/25/2021 10:42,22134.5,G,TRB,Specific Conductance
8/25/2021 10:57,22134.5,G,TRB,Specific Conductance
8/25/2021 11:12,22139.2,G,TRB,Specific Conductance
8/25/2021 11:27,22034.6,G,TRB,Specific Conductance
8/25/2021 11:42,21632.1,G,TRB,Specific Conductance
8/25/2021 11:57,21590.1,G,TRB,Specific Conductance
8/25/2021 12:12,21628.2,G,TRB,Specific Conductance
8/25/2021 12:27,21700,G,TRB,Specific Conductance
8/25/2021 12:42,21716.4,G,TRB,Specific Conductance
8/25/2021 12:57,21788.1,G,TRB,Specific Conductance
8/25/2021 13:12,21844.6,G,TRB,Specific Conductance
8/25/2021 13:27,21852.6,G,TRB,Specific Conductance
8/25/2021 13:42,21865.3,G,TRB,Specific Conductance
8/25/2021 13:57,21877.6,G,TRB,Specific Conductance
8/25/2021 14:12,21913.8,G,TRB,Specific Conductance
8/25/2021 14:27,21902.9,G,TRB,Specific Conductance
8/25/2021 14:42,21894.5,G,TRB,Specific Conductance
8/25/2021 14:57,21738.1,G,TRB,Specific Conductance
8/25/2021 15:12,21667.9,G,TRB,Specific Conductance
8/25/2021 15:27,21496.3,G,TRB,Specific Conductance
8/25/2021 15:42,21428.8,G,TRB,Specific Conductance
8/25/2021 15:57,21366.6,G,TRB,Specific Conductance
8/25/2021 16:12,21349.8,G,TRB,Specific Conductance
8/25/2021 16:27,21327.8,G,TRB,Specific Conductance
8/25/2021 16:42,21401.2,G,TRB,Specific Conductance
8/25/2021 16:57,21405.8,G,TRB,Specific Conductance
8/25/2021 17:12,21474.5,G,TRB,Specific Conductance
8/25/2021 17:27,21505.8,G,TRB,Specific Conductance
8/25/2021 17:42,21575.5,G,TRB,Specific Conductance
8/25/2021 17:57,21599,G,TRB,Specific Conductance
8/25/2021 18:12,21587,G,TRB,Specific Conductance
8/25/2021 18:27,21613.8,G,TRB,Specific Conductance
8/25/2021 18:42,21659.5,G,TRB,Specific Conductance
8/25/2021 18:57,21715.2,G,TRB,Specific Conductance
8/25/2021 19:12,21776.7,G,TRB,Specific Conductance
8/25/2021 19:27,21847.2,G,TRB,Specific Conductance
8/25/2021 19:42,21910.3,G,TRB,Specific Conductance
8/25/2021 19:57,21962.4,G,TRB,Specific Conductance
8/25/2021 20:12,21998.6,G,TRB,Specific Conductance
8/25/2021 20:27,22031.3,G,TRB,Specific Conductance
8/25/2021 20:42,22059.3,G,TRB,Specific Conductance
8/25/2021 20:57,22076.3,G,TRB,Specific Conductance
8/25/2021 21:12,22095.3,G,TRB,Specific Conductance
8/25/2021 21:27,22109.3,G,TRB,Specific Conductance
8/25/2021 21:42,22122.4,G,TRB,Specific Conductance
8/25/2021 21:57,22107.4,G,TRB,Specific Conductance
8/25/2021 22:12,22142.7,G,TRB,Specific Conductance
8/25/2021 22:27,22114.4,G,TRB,Specific Conductance
8/25/2021 22:42,22149.3,G,TRB,Specific Conductance
8/25/2021 22:57,22153.1,G,TRB,Specific Conductance
8/25/2021 23:12,22157,G,TRB,Specific Conductance
8/25/2021 23:27,22151,G,TRB,Specific Conductance
8/25/2021 23:42,22144.9,G,TRB,Specific Conductance
8/25/2021 23:57,21875.6,G,TRB,Specific Conductance
8/26/2021 0:12,21307,G,TRB,Specific Conductance
8/26/2021 0:27,21133.2,G,TRB,Specific Conductance
8/26/2021 0:42,21171.8,G,TRB,Specific Conductance
8/26/2021 0:57,21214,G,TRB,Specific Conductance
8/26/2021 1:12,21224.9,G,TRB,Specific Conductance
8/26/2021 1:27,21207.4,G,TRB,Specific Conductance
8/26/2021 1:42,21158.1,G,TRB,Specific Conductance
8/26/2021 1:57,21115.1,G,TRB,Specific Conductance
8/26/2021 2:12,21042.8,G,TRB,Specific Conductance
8/26/2021 2:27,21031.3,G,TRB,Specific Conductance
8/26/2021 2:42,21024.1,G,TRB,Specific Conductance
8/26/2021 2:57,21041.7,G,TRB,Specific Conductance
8/26/2021 3:12,20947.6,G,TRB,Specific Conductance
8/26/2021 3:27,20931.2,G,TRB,Specific Conductance
8/26/2021 3:42,20887.1,G,TRB,Specific Conductance
8/26/2021 3:57,20828,G,TRB,Specific Conductance
8/26/2021 4:12,20772.4,G,TRB,Specific Conductance
8/26/2021 4:27,20731.6,G,TRB,Specific Conductance
8/26/2021 4:42,20854.6,G,TRB,Specific Conductance
8/26/2021 4:57,20829.4,G,TRB,Specific Conductance
8/26/2021 5:12,20852.5,G,TRB,Specific Conductance
8/26/2021 5:27,20884.7,G,TRB,Specific Conductance
8/26/2021 5:42,20937.8,G,TRB,Specific Conductance
8/26/2021 5:57,20986.8,G,TRB,Specific Conductance
8/26/2021 6:12,21018.5,G,TRB,Specific Conductance
8/26/2021 6:27,21052.7,G,TRB,Specific Conductance
8/26/2021 6:42,21095.2,G,TRB,Specific Conductance
8/26/2021 6:57,21133.1,G,TRB,Specific Conductance
8/26/2021 7:12,21211.8,G,TRB,Specific Conductance
8/26/2021 7:27,21337.6,G,TRB,Specific Conductance
8/26/2021 7:42,21488.8,G,TRB,Specific Conductance
8/26/2021 7:57,21614.1,G,TRB,Specific Conductance
8/26/2021 8:12,21722.6,G,TRB,Specific Conductance
8/26/2021 8:27,21805.8,G,TRB,Specific Conductance
8/26/2021 8:42,21876,G,TRB,Specific Conductance
8/26/2021 8:57,21924.3,G,TRB,Specific Conductance
8/26/2021 9:12,21954.5,G,TRB,Specific Conductance
8/26/2021 9:27,21977.2,G,TRB,Specific Conductance
8/26/2021 9:42,22006.4,G,TRB,Specific Conductance
8/26/2021 9:57,22028.3,G,TRB,Specific Conductance
8/26/2021 10:12,22053.2,G,TRB,Specific Conductance
8/26/2021 10:27,22069.9,G,TRB,Specific Conductance
8/26/2021 10:42,22090.4,G,TRB,Specific Conductance
8/26/2021 10:57,22107.4,G,TRB,Specific Conductance
8/26/2021 11:12,22122.9,G,TRB,Specific Conductance
8/26/2021 11:27,22118.2,G,TRB,Specific Conductance
8/26/2021 11:42,22125.5,G,TRB,Specific Conductance
8/26/2021 11:57,22130.2,G,TRB,Specific Conductance
8/26/2021 12:12,21246.5,G,TRB,Specific Conductance
8/26/2021 12:27,20884.2,G,TRB,Specific Conductance
8/26/2021 12:42,20609.9,G,TRB,Specific Conductance
8/26/2021 12:57,20646.2,G,TRB,Specific Conductance
8/26/2021 13:12,20585.4,G,TRB,Specific Conductance
8/26/2021 13:27,20539.7,G,TRB,Specific Conductance
8/26/2021 13:42,20420.1,G,TRB,Specific Conductance
8/26/2021 13:57,20311,G,TRB,Specific Conductance
8/26/2021 14:12,20269,G,TRB,Specific Conductance
8/26/2021 14:27,20248.1,G,TRB,Specific Conductance
8/26/2021 14:42,20207.9,G,TRB,Specific Conductance
8/26/2021 14:57,20170.7,G,TRB,Specific Conductance
8/26/2021 15:12,20177.1,G,TRB,Specific Conductance
8/26/2021 15:27,20233,G,TRB,Specific Conductance
8/26/2021 15:42,20229.1,G,TRB,Specific Conductance
8/26/2021 15:57,20184.6,G,TRB,Specific Conductance
8/26/2021 16:12,20167.4,G,TRB,Specific Conductance
8/26/2021 16:27,20145.8,G,TRB,Specific Conductance
8/26/2021 16:42,20151.9,G,TRB,Specific Conductance
8/26/2021 16:57,20168.1,G,TRB,Specific Conductance
8/26/2021 17:12,20163,G,TRB,Specific Conductance
8/26/2021 17:27,20177.7,G,TRB,Specific Conductance
8/26/2021 17:42,20181.6,G,TRB,Specific Conductance
8/26/2021 17:57,20165,G,TRB,Specific Conductance
8/26/2021 18:12,20163.1,G,TRB,Specific Conductance
8/26/2021 18:27,20177.6,G,TRB,Specific Conductance
8/26/2021 18:42,20183.3,G,TRB,Specific Conductance
8/26/2021 18:57,20199.5,G,TRB,Specific Conductance
8/26/2021 19:12,20228.1,G,TRB,Specific Conductance
8/26/2021 19:27,20261.7,G,TRB,Specific Conductance
8/26/2021 19:42,20290.5,G,TRB,Specific Conductance
8/26/2021 19:57,20346.3,G,TRB,Specific Conductance
8/26/2021 20:12,20504.8,G,TRB,Specific Conductance
8/26/2021 20:27,20678.4,G,TRB,Specific Conductance
8/26/2021 20:42,20822.1,G,TRB,Specific Conductance
8/26/2021 20:57,20953.4,G,TRB,Specific Conductance
8/26/2021 21:12,21063.9,G,TRB,Specific Conductance
8/26/2021 21:27,21155.5,G,TRB,Specific Conductance
8/26/2021 21:42,21221.1,G,TRB,Specific Conductance
8/26/2021 22:42,21381.6,G,TRB,Specific Conductance
8/26/2021 21:57,21278.4,G,TRB,Specific Conductance
8/26/2021 22:12,21328.4,G,TRB,Specific Conductance
8/26/2021 22:27,21365.7,G,TRB,Specific Conductance
8/26/2021 22:57,21409.8,G,TRB,Specific Conductance
8/26/2021 23:12,21425.4,G,TRB,Specific Conductance
8/26/2021 23:27,21437.1,G,TRB,Specific Conductance
8/26/2021 23:42,21444.6,G,TRB,Specific Conductance
8/26/2021 23:57,21451.9,G,TRB,Specific Conductance
8/27/2021 0:12,21465.9,G,TRB,Specific Conductance
8/27/2021 0:27,21462.6,G,TRB,Specific Conductance
8/27/2021 0:42,20976.2,G,TRB,Specific Conductance
8/27/2021 0:57,20501.1,G,TRB,Specific Conductance
8/27/2021 1:12,20194,G,TRB,Specific Conductance
8/27/2021 1:27,20014.1,G,TRB,Specific Conductance
8/27/2021 1:42,20120.9,G,TRB,Specific Conductance
8/27/2021 1:57,20362.3,G,TRB,Specific Conductance
8/27/2021 2:12,19843.1,G,TRB,Specific Conductance
8/27/2021 2:27,19653.6,G,TRB,Specific Conductance
8/27/2021 3:27,19277.1,G,TRB,Specific Conductance
8/27/2021 2:42,19597.1,G,TRB,Specific Conductance
8/27/2021 2:57,19624,G,TRB,Specific Conductance
8/27/2021 3:12,19560.6,G,TRB,Specific Conductance
8/27/2021 3:42,19576.1,G,TRB,Specific Conductance
8/27/2021 3:57,19586.4,G,TRB,Specific Conductance
8/27/2021 4:12,19615,G,TRB,Specific Conductance
8/27/2021 4:27,19649.7,G,TRB,Specific Conductance
8/27/2021 4:42,19652.9,G,TRB,Specific Conductance
8/27/2021 4:57,19662.3,G,TRB,Specific Conductance
8/27/2021 5:12,19662.5,G,TRB,Specific Conductance
